"","x"
"1","Rps29"
"2","Rpl21"
"3","Rps21"
"4","Rplp1"
"5","Ctsb"
"6","Rps15a"
"7","Rps26"
"8","Rps19"
"9","Rpl23"
"10","Rpl35a"
"11","mt-Atp6"
"12","Rpl39"
"13","mt-Co2"
"14","Rps27"
"15","Rpl32"
"16","Rps3"
"17","Rpl18"
"18","Rps12"
"19","Rpl18a"
"20","Rpl19"
"21","Rps5"
"22","Rps13"
"23","Rpl13"
"24","mt-Nd4"
"25","mt-Cytb"
"26","Rpl27a"
"27","Rpl34"
"28","mt-Co1"
"29","Gm10260"
"30","Rpl8"
"31","Rpl37a"
"32","Rpl7"
"33","Npl"
"34","mt-Atp8"
"35","mt-Co3"
"36","Actb"
"37","Rps10"
"38","Emid1"
"39","Sirpa"
"40","Rps7"
"41","Eef1a1"
"42","mt-Nd2"
"43","mt-Nd1"
"44","Rplp2"
"45","Rpl26"
"46","Tpt1"
"47","Eef1b2"
"48","Rpl10"
"49","Rpl28"
"50","Csf1r"
"51","mt-Nd4l"
"52","Ldhb"
"53","Grn"
"54","Rpl15"
"55","Ethe1"
"56","Rpl10a"
"57","Qk"
"58","Apoe"
"59","Atp6v0b"
"60","Slc25a3"
"61","Qsox1"
"62","Rpl3"
"63","Eno1"
"64","Eif3f"
"65","Rpl12"
"66","Gm10073"
"67","Tia1"
"68","Gm8186"
"69","Zfhx3"
"70","Rpl27-ps3"
"71","Apoc1"
"72","Pabpc1"
"73","mt-Nd5"
"74","Rps8"
"75","Gm3550"
"76","Ubb"
"77","Gars"
"78","Rbmxl1"
"79","Ly86"
"80","Chchd10"
"81","Arsb"
"82","Gm26917"
"83","Polr2m"
"84","Borcs6"
"85","Bcl2a1d"
"86","Commd3"
"87","Btf3"
"88","Myl6"
"89","Phgdh"
"90","Iars2"
"91","Hpgd"
"92","Mrpl33"
"93","Mzt2"
"94","Gipc1"
"95","Uba5"
"96","Gcsh"
"97","Klk8"
"98","Nsmce1"
"99","Psmb2"
"100","Crybb1"
"101","Gm2000"
"102","Rnasel"
"103","Prps2"
"104","Scp2"
"105","Mcrs1"
"106","Tyms"
"107","Zeb2"
"108","Atxn2l"
"109","Rp9"
"110","Ralbp1"
"111","Nipa2"
"112","Cmtm7"
"113","Cops4"
"114","Khdrbs1"
"115","Eif3m"
"116","Tor1a"
"117","Traf3ip3"
"118","Nrm"
"119","Necap2"
"120","Eif4a3"
"121","Ssh2"
"122","Syncrip"
"123","Cd81"
"124","Dynlt1f"
"125","Psma1"
"126","Gm8797"
"127","Cltb"
"128","Ankfy1"
"129","Fam105a"
"130","Slc36a1"
"131","Pa2g4"
"132","Itgam"
"133","Rps12-ps3"
"134","Hsd17b10"
"135","Mcts1"
"136","Twf1"
"137","Pou2f2"
"138","Cryba4"
"139","Creg1"
"140","Bnip2"
"141","Phip"
"142","Scd2"
"143","Cox17"
"144","Adgre1"
"145","Ctsf"
"146","Ccnl2"
"147","Wls"
"148","Fubp1"
"149","Lsm5"
"150","Actr10"
"151","mt-Nd3"
"152","Mgmt"
"153","Cox7a2"
"154","Coro1b"
"155","Pla2g15"
"156","Ech1"
"157","Zmat2"
"158","Glul"
"159","Smarcb1"
"160","Paqr7"
"161","Lgals9"
"162","Pf4"
"163","Ttyh2"
"164","Mrpl15"
"165","Igbp1"
"166","Fbrsl1"
"167","Pcna"
"168","Fam20c"
"169","Sdf2l1"
"170","Gsr"
"171","Idh3g"
"172","Cln5"
"173","Tbc1d16"
"174","Nme2"
"175","Comt"
"176","Dnajc13"
"177","Taf1b"
"178","Emg1"
"179","Ing4"
"180","Hspa8"
"181","Plod3"
"182","Ccdc86"
"183","Ppp1r2"
"184","Bin3"
"185","Dpp8"
"186","Dcun1d5"
"187","Sdf2"
"188","Sqor"
"189","Bcl2a1b"
"190","Adcy7"
"191","Rfc5"
"192","Rfc2"
"193","Frmd4a"
"194","Mark3"
"195","Tra2a"
"196","Top2a"
"197","Ccdc22"
